Name,Inventory Image,Storage Image,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,HHA Base Points,Tag,Color 1,Color 2,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
acorn,https://acnhcdn.com/latest/MenuIcon/DIYAcorn.png,https://acnhcdn.com/latest/FtrIcon/DIYAcorn.png,No,30.0,NFS,200.0,NA,Hardwood Tree,Shaking; Only available during Fall,0.0,NA,None,None,1.0.0,1.0.0,DIYAcorn,5727.0,LWRPyLkySfCNkDvdv
apple,https://acnhcdn.com/latest/MenuIcon/Apple.png,https://acnhcdn.com/latest/FtrIcon/Apple.png,No,10.0,400.0,500.0,NA,Apple Tree,,0.0,NA,None,None,1.0.0,1.0.0,Apple,2213.0,iTWs2LBrcFu8XyDMF
apple tree,https://acnhcdn.com/latest/MenuIcon/PltApple.png,,No,1.0,NFS,300.0,NA,Planting an apple,,0.0,Plants,None,None,1.0.0,1.0.0,PltApple4,3360.0,4BFZn59FMC5eyCKXS
Aquarius fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceAquarius.png,https://acnhcdn.com/latest/FtrIcon/StarpieceAquarius.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Aquarius Zodiac, January 20 - February 18",0.0,NA,None,None,1.0.0,1.0.0,StarpieceAquarius,5986.0,sHWduQNusYLWRjhzb
arched tile path permit,https://acnhcdn.com/latest/MenuIcon/Helmet.png,,No,1.0,NFS,NA,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,0.0,NA,None,None,1.0.0,1.0.0,FtrGroundMakerStonePattern,8776.0,yDajuWo93WGgTR4bJ
Aries fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceAries.png,https://acnhcdn.com/latest/FtrIcon/StarpieceAries.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Aries Zodiac, March 21 - April 19",0.0,NA,None,None,1.0.0,1.0.0,StarpieceAries,5988.0,D5JE2Ypt5vZ3C4EM6
bamboo piece,https://acnhcdn.com/latest/MenuIcon/DIYBamboo.png,https://acnhcdn.com/latest/FtrIcon/DIYBamboo.png,No,30.0,NFS,80.0,NA,Chopping a bamboo tree,,0.0,NA,None,None,1.0.0,1.0.0,DIYBamboo,2501.0,RJpF9Apqi52AqPP25
bamboo shoot,https://acnhcdn.com/latest/MenuIcon/BanbooShoot.png,https://acnhcdn.com/latest/FtrIcon/BambooShoot.png,No,10.0,NFS,250.0,NA,Dig Spot; Daisy Mae,Near a bamboo tree,0.0,NA,None,None,1.0.0,1.0.0,BambooShoot,2295.0,kTmS9FFMxJFuCS7vr
bamboo tree,https://acnhcdn.com/latest/MenuIcon/PltBamboo.png,,No,1.0,NFS,1500.0,NA,Planting a bamboo shoot,,0.0,Plants,None,None,1.0.0,1.0.0,PltBamboo4,2815.0,m6And8qdTfySMh9kR
Bell bag,https://acnhcdn.com/latest/MenuIcon/MoneyBag069.png,https://acnhcdn.com/latest/FtrIcon/PhotoStudioBellBag.png,No,99.0,NFS,NA,NA,Glowing dig spot,,0.0,NA,None,None,1.0.0,1.0.0,PhotoStudioBellBag,7731.0,MwHcZBfqcJ5vJzRqZ
Bell voucher,https://acnhcdn.com/latest/MenuIcon/BellExchangeTicket.png,,No,1.0,NFS,3000.0,500.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,103.0,NA,None,None,1.0.0,1.0.0,BellExchangeTicket,9964.0,Ekx2qXMQw3nrBxbwC
birthday cupcake,https://acnhcdn.com/latest/MenuIcon/BdayCupcake.png,https://acnhcdn.com/latest/FtrIcon/BirthdayCupcake.png,No,10.0,NFS,200.0,NA,Birthday,,0.0,Seasonal Decor,None,None,1.0.0,1.0.0,BirthdayCupcake,2779.0,Q5HRfFvkBvPw8TFPR
black cosmos,https://acnhcdn.com/latest/MenuIcon/Cosmos5.png,https://acnhcdn.com/latest/FtrIcon/FlwCosmosBlack.png,No,10.0,NFS,240.0,NA,Picking flowers,,87.0,Plants,Black,Green,1.0.0,1.0.0,FlwCosmosBlack,2875.0,QveR5KriJ63ZvAmQs
black lilies,https://acnhcdn.com/latest/MenuIcon/Yuri5.png,https://acnhcdn.com/latest/FtrIcon/FlwYuriBlack.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Black,Green,1.0.0,1.0.0,FlwYuriBlack,2999.0,GJEkbwJexHSSq3Kvp
black roses,https://acnhcdn.com/latest/MenuIcon/Rose6.png,https://acnhcdn.com/latest/FtrIcon/FlwRoseBlack.png,No,10.0,NFS,240.0,NA,Picking flowers,,87.0,Plants,Black,Green,1.0.0,1.0.0,FlwRoseBlack,2955.0,RAxXqgdwa6Jb3fKFX
black tulips,https://acnhcdn.com/latest/MenuIcon/Turip5.png,https://acnhcdn.com/latest/FtrIcon/FlwTulipBlack.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Black,Green,1.0.0,1.0.0,FlwTulipBlack,2903.0,WGvGEjXRYjucLHity
black wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperBlack.png,https://acnhcdn.com/latest/FtrIcon/WPaperBlack.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperBlack,7698.0,e726AGFuzKwPdeNZu
black-cosmos plant,https://acnhcdn.com/latest/MenuIcon/PltCosmos5.png,,No,1.0,NFS,240.0,NA,Red/red cosmos,,0.0,Plants,None,None,1.0.0,1.0.0,PltCosmosBlack3,3834.0,o54h94yBpGiSSfKkr
black-lily plant,https://acnhcdn.com/latest/MenuIcon/PltYuri5.png,,No,1.0,NFS,80.0,NA,Red/red lilies,,0.0,Plants,None,None,1.0.0,1.0.0,PltYuriBlack3,3896.0,RgsTH72gphGY6AHsK
black-rose plant,https://acnhcdn.com/latest/MenuIcon/PltRose6.png,,No,1.0,NFS,240.0,NA,Red/red roses,,0.0,Plants,None,None,1.0.0,1.0.0,PltRoseBlack3,3874.0,suqNAcWRFj6JJZKuk
black-tulip plant,https://acnhcdn.com/latest/MenuIcon/PltTurip5.png,,No,1.0,NFS,80.0,NA,Red/red tulips,,0.0,Plants,None,None,1.0.0,1.0.0,PltTulipBlack3,3848.0,2aiEhGHeGqQG725zX
Blathers's tent marker,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,MuseumTent,2755.0,57HSnpzwFHuTfBiyf
blue hyacinths,https://acnhcdn.com/latest/MenuIcon/Hyacinth6.png,https://acnhcdn.com/latest/FtrIcon/FlwHyacinthBlue.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Blue,Green,1.0.0,1.0.0,FlwHyacinthBlue,3748.0,K6yui8FLmJvwNcfL4
blue ornament,https://acnhcdn.com/latest/MenuIcon/ChristmasOrnamentB.png,https://acnhcdn.com/latest/FtrIcon/DIYOrnamentBlue.png,No,30.0,NFS,50.0,NA,Cedar Tree,Shaking decorated trees; Only available during the Festive Season,0.0,NA,None,None,1.0.0,1.0.0,DIYOrnamentBlue,5731.0,s38Tms3PpjpWGnFtn
blue pansies,https://acnhcdn.com/latest/MenuIcon/Pansi5.png,https://acnhcdn.com/latest/FtrIcon/FlwPansyBlue.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Blue,Green,1.0.0,1.0.0,FlwPansyBlue,2927.0,mNBAQ7xCjndP63TW8
blue roses,https://acnhcdn.com/latest/MenuIcon/Rose7.png,https://acnhcdn.com/latest/FtrIcon/FlwRoseBlue.png,No,10.0,NFS,1000.0,NA,Picking flowers,,87.0,Plants,Blue,Green,1.0.0,1.0.0,FlwRoseBlue,2959.0,C39ncDcJ44My6qoQm
blue windflowers,https://acnhcdn.com/latest/MenuIcon/Anemone5.png,https://acnhcdn.com/latest/FtrIcon/FlwAnemonesBlue.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Blue,Green,1.0.0,1.0.0,FlwAnemonesBlue,3717.0,JmHWXFZvvgpJYrg8Z
blue wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperBlue.png,https://acnhcdn.com/latest/FtrIcon/WPaperBlue.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperBlue,7692.0,FK3PwoipGayPzS4SW
blue-hyacinth plant,https://acnhcdn.com/latest/MenuIcon/PltHyacinth6.png,,No,1.0,NFS,80.0,NA,White/white hyacinths,,0.0,Plants,None,None,1.0.0,1.0.0,PltHyacinthBlue3,3920.0,MNT54SyQWEWfaQAc6
blue-hydrangea bush,https://acnhcdn.com/latest/MenuIcon/PltHydrangeaBlue.png,,No,1.0,560.0,140.0,NA,Digging up a fully grown bush,,0.0,NA,None,None,1.2.0,1.2.0,PltHydrangeaBlue2,3800.0,trgrtapDMZkkyDfiz
