Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Version Added,Version Unlocked,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,Serial ID,Internal ID,Unique Entry ID
acorn pochette,https://acnhcdn.com/latest/DIYRecipeIcon/BagShoulderAcorn0.png,6.0,acorn,,,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Fall,1.0.0,1.0.0,0.0,Equipment,7492.0,brown,2982.0,632.0,a9FFbP64fTcJ3Cn5E
acoustic guitar,https://acnhcdn.com/latest/DIYRecipeIcon/FtrAcorsticguitar.png,8.0,softwood,3.0,iron nugget,,,,,,,,,NFS,200.0,NA,Smug villagers,,1.0.0,1.0.0,0.0,Housewares,383.0,brown,406.0,44.0,Y62RymJYgbmZEyQon
angled signpost,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSignpostTilt.png,2.0,hardwood,3.0,softwood,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,100.0,Housewares,7867.0,brown,440.0,510.0,BNiDaivRjGNzCckWw
apple chair,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFruitsChairApple.png,10.0,apple,4.0,wood,,,,,,,,,NFS,200.0,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,1.0.0,1.0.0,100.0,Housewares,4134.0,red,1700.0,189.0,HB55bMQf4D57ekNf4
apple dress,https://acnhcdn.com/latest/DIYRecipeIcon/TopsTexOnepieceAlineNApple0.png,8.0,apple,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Equipment,9836.0,red,1782.0,621.0,KmfTvhh3qeyd6WcFJ
apple hat,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatApple0.png,5.0,apple,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Equipment,9871.0,red,1781.0,622.0,5ABmQxkN3SatETcEg
apple rug,https://acnhcdn.com/latest/DIYRecipeIcon/RugOtherAppleM00.png,6.0,apple,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Rugs,7327.0,red,1770.0,542.0,5noTnXTTPzBfbsaz2
apple umbrella,https://acnhcdn.com/latest/DIYRecipeIcon/UmbrellaApple0.png,7.0,apple,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Equipment,9948.0,red,1780.0,623.0,N2aQCn6hYqjw2ijPX
apple wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallApple00.png,20.0,apple,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Wallpaper,4916.0,red,1750.0,304.0,7azjirioafcXyzPHB
Aquarius urn,https://acnhcdn.com/latest/DIYRecipeIcon/FtrZodiacAquarius.png,3.0,star fragment,2.0,Aquarius fragment,2.0,gold nugget,5.0,stone,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,5956.0,silver,2310.0,366.0,NGfmzz4ndL9MvLG2F
Aries rocking chair,https://acnhcdn.com/latest/DIYRecipeIcon/FtrZodiacAries.png,3.0,star fragment,2.0,Aries fragment,1.0,gold nugget,5.0,stone,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,5954.0,silver,2300.0,367.0,XXJwFRCG4m9Q4xe6y
armor shoes,https://acnhcdn.com/latest/DIYRecipeIcon/ShoesKneeKnightIron.png,4.0,iron nugget,,,,,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,100.0,Equipment,5472.0,dark gray,982.0,642.0,zbzh6s369wZ3anypo
aroma pot,https://acnhcdn.com/latest/DIYRecipeIcon/FtrAlomapot.png,3.0,clay,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,0.0,Miscellaneous,1753.0,brick,704.0,30.0,BTu3bRj64f2dwdDXa
asteroid,https://acnhcdn.com/latest/DIYRecipeIcon/FtrMeteo.png,5.0,star fragment,10.0,stone,,,,,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,1439.0,silver,2203.0,235.0,BPNHraJWRXYZahLoJ
astronaut suit,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSpacesuit.png,5.0,star fragment,5.0,iron nugget,,,,,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,1445.0,silver,2220.0,236.0,sczENjHH7XW8e2n3Q
autumn wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomSpWallAutumun00.png,10.0,maple leaf,5.0,wood,5.0,clump of weeds,,,,,,,NFS,200.0,NA,Balloons,Only available during Maple Leaf Season,1.0.0,1.0.0,0.0,Wallpaper,4905.0,brown,2950.0,290.0,vjyWT27sydFDoYjhF
