Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,Black,No,1320.0,330.0,51.0,Black,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalChemical1,649.0,11385.0,a7HNjgRFkCznkDLLH
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,Blue,No,1320.0,330.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Simple,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalChemical0,649.0,5286.0,QaecPktemD3XuFdwy
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,Zebra,No,1100.0,275.0,51.0,Gray,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxStripe1,1093.0,12067.0,4mDRmSG3scfXh3oon
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,Tiger,No,1100.0,275.0,51.0,Yellow,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxStripe0,1093.0,9842.0,qmtHwBmtJDvtNntTs
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,Blue,No,700.0,175.0,51.0,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,work,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxApron1,847.0,8921.0,cfzi35RpY8onR3hra
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,Purple,No,700.0,175.0,51.0,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,work,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxApron0,847.0,5710.0,MtsvEMQ9Z9damsycd
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,Beige,No,700.0,175.0,51.0,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,work,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxApron2,847.0,8922.0,AmWS5iMbatqDr2eLs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,Black,No,880.0,220.0,51.0,Black,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalJersey2,127.0,11296.0,8NcTmEpkckocYvTf2
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey4.png,Berry red,No,880.0,220.0,51.0,Red,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalJersey4,127.0,11298.0,HSgcZgAkXCBroWboG
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,Red,No,880.0,220.0,51.0,Red,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; comfy; sporty,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalJersey0,127.0,3311.0,iL9vd8DerEEJDJQbA
