Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,63000.0,15750.0,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAirconditioner_Remake_0_0,0_0,929.0,7EpH4QiWWq6i7j4yp
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_1_0.png,Gray,NA,NA,NA,No,No,No,NA,63000.0,15750.0,Gray,Gray,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAirconditioner_Remake_1_0,1_0,929.0,iWBEC2WbBHnk4ikm3
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,63000.0,15750.0,Black,Black,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAirconditioner_Remake_2_0,2_0,929.0,wPNpj6gofFKDMneeS
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,63000.0,15750.0,Pink,Pink,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAirconditioner_Remake_3_0,3_0,929.0,SyG8yuDJjnxjRRAYJ
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,63000.0,15750.0,Light blue,Light blue,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAirconditioner_Remake_4_0,4_0,929.0,fBngP3empPftMfnsB
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_5_0.png,Brown,NA,NA,NA,No,No,No,NA,63000.0,15750.0,Brown,Brown,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,facility,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAirconditioner_Remake_5_0,5_0,929.0,B5d8BvAPL6TJeYMZB
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,16000.0,4000.0,Brown,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAntiquePhoneW_Remake_0_0,0_0,3953.0,hJBB3R4NDJrTGhQK7
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,16000.0,4000.0,Beige,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAntiquePhoneW_Remake_1_0,1_0,3953.0,6EomSi8yTfRRCoxwn
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,16000.0,4000.0,Black,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAntiquePhoneW_Remake_2_0,2_0,3953.0,SSHmqTAWCt99jDNq8
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_0.png,Signature,NA,Musician's signature,Signature,No,No,Yes,1.0,1400.0,350.0,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_0_0,0_0,1899.0,HpebEX4QbjWeQGmPb
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_1.png,Signature,NA,Comedian's signature,Signature,No,No,Yes,1.0,1400.0,350.0,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_0_1,0_1,1899.0,agiS2suZcLp3cZp7x
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_0.png,Handprints,NA,Musician's signature,Signature,No,No,Yes,1.0,1400.0,350.0,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_1_0,1_0,1899.0,XzBB69cXctRGbKen7
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_1.png,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1.0,1400.0,350.0,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,1.0.0,FtrAutograph_Remake_1_1,1_1,1899.0,vwk5njowHf3GkRcFq
