Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics0.png,Red & pink,No,700.0,175.0,23.0,Pink,Red,1x1,NA,Kicks,,All Year,No,Active,sporty,1.0,No,For sale,1.0.0,1.0.0,SocksTexAerobics0,621.0,5197.0,Smui8G3P6D8WgqK9G
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics3.png,Light blue & salmon pink,No,700.0,175.0,23.0,Pink,Light blue,1x1,NA,Kicks,,All Year,No,Active,sporty,2.0,No,For sale,1.0.0,1.0.0,SocksTexAerobics3,621.0,9796.0,nYBBFZjyvYjTSN4fD
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics2.png,Purple & orange,No,700.0,175.0,23.0,Orange,Purple,1x1,NA,Kicks,,All Year,No,Active,sporty,3.0,No,For sale,1.0.0,1.0.0,SocksTexAerobics2,621.0,9795.0,jWvfpeefbhQpHQFoM
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics1.png,Emerald & lime,No,700.0,175.0,23.0,Green,Light blue,1x1,NA,Kicks,,All Year,No,Active,sporty,4.0,No,For sale,1.0.0,1.0.0,SocksTexAerobics1,621.0,9794.0,eZKx89GvGsXcSDiMk
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics4.png,Yellow & blue,No,700.0,175.0,23.0,Blue,Yellow,1x1,NA,Kicks,,All Year,No,Active,sporty,5.0,No,For sale,1.0.0,1.0.0,SocksTexAerobics4,621.0,9797.0,gYqiyt5aP9KjqNnXQ
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan1.png,White,No,720.0,180.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; comfy,1.0,No,For sale,1.0.0,1.0.0,SocksTexAlan1,536.0,9058.0,XX9wX5KzyENyLGa5e
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan5.png,Black,No,720.0,180.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; comfy,2.0,No,For sale,1.0.0,1.0.0,SocksTexAlan5,536.0,9062.0,pLZq39rKg8rn454r4
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan2.png,Red,No,720.0,180.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; comfy,3.0,No,For sale,1.0.0,1.0.0,SocksTexAlan2,536.0,9059.0,7xkmotJQfLFN6Rohx
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan3.png,Green,No,720.0,180.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; comfy,4.0,No,For sale,1.0.0,1.0.0,SocksTexAlan3,536.0,9060.0,NH6u8astq42zMebAa
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan4.png,Blue,No,720.0,180.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; comfy,5.0,No,For sale,1.0.0,1.0.0,SocksTexAlan4,536.0,9061.0,Gardfqrryv6SLZSQB
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan0.png,Beige,No,720.0,180.0,51.0,Beige,Beige,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Simple,everyday; comfy,6.0,No,For sale,1.0.0,1.0.0,SocksTexAlan0,536.0,4742.0,stTCJiLMdhmZ2ztyw
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle5.png,White,No,720.0,180.0,51.0,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,1.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle5,880.0,9925.0,dT8t2ZMFSfktJkoDd
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle4.png,Gray,No,720.0,180.0,51.0,Gray,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal; work,2.0,No,For sale,1.0.0,1.0.0,SocksTexArgyle4,880.0,9924.0,2LSJz8d2eCLmuyiMg
