#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Shadow,Movement Speed,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Version Added,Version Unlocked,Internal ID,Unique Entry ID
17.0,abalone,https://acnhcdn.com/latest/MenuIcon/Awabi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishAwabiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishAwabi.png,2000.0,Medium,Medium,20.0,1–6,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,1x1,Yes,"My feathers, but the abalone is a most deceptive sea snail, wot wot! After seeing its dull brown shell from the outside, one would think it quite plain.But take a gander inside, and you'll see that the abalone's home is a shimmering beauty to behold! The inner layer of the shell is made of ""nacre,"" or ""mother-of-pearl,"" and, hoo, what a dazzling iridescent hue! Let this be a lesson! You mustn't judge a sea snail by the outside of its shell. Judge it by the inside of its shell instead.",I got an abalone! Why do I want a sandwich now?,0.0,Pet,None,None,Fluorescent,Awabi,DiveFishAwabi,FtrDiveFishAwabi,1.3.0,1.3.0,2835.0,LnurTYKDSPtsiQr62
28.0,acorn barnacle,https://acnhcdn.com/latest/MenuIcon/Fujitsubo.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishFujitsuboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishFujitsubo.png,600.0,X-Small,Stationary,0.0,6–11,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Do not mistake the acorn barnacle for a relative of the calm. Tut-tut, mollusks they are not. Barnacles are cousins to crabs and lobsters, you see. Though the family resemblance is hard to spot. Acorn barnacles may also seem to live a stationary life, what with being attached to rocks and such. But truth be told, baby barnacles are avid travelers, drifting shell-less about the sea before settling down. Once they find a good rock to affix themselves to, they float free no more. Which begs the question... Do adult acorn barnacles ever look out across the open sea...and long for youthful adventure once more?",I got an acorn barnacle! Will it grow into an oak barnacle?,0.0,Pet,None,None,Fluorescent,Fujitsubo,DiveFishFujitsubo,FtrDiveFishFujitsubo,1.3.0,1.3.0,2832.0,QjvNJrjo5pNqZzuGq
19.0,chambered nautilus,https://acnhcdn.com/latest/MenuIcon/Oumugai.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishOumugaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishOumugai.png,1800.0,Medium,Medium,20.0,3–5,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"The chambered nautilus is perhaps best known for its gorgeous shell. Not only does this shell's interior shine with a pearly luster, it features a near-perfect natural spiral. But those aren't the chambered nautilus's only bragging rights. This cephalopod can have up to 90 tentacles, it's said! These arms come coated with a sticky substance that helps the nautilus capture its prey...Which is far better than using them for overly long hugs, I say.",I got a chambered nautilus! Is it on the naughty list?,0.0,Pet,None,None,Fluorescent,Oumugai,DiveFishOumugai,FtrDiveFishOumugai,1.3.0,1.3.0,2856.0,cmNawSTGaZZjRi5sp
25.0,Dungeness crab,https://acnhcdn.com/latest/MenuIcon/DungenessCrab.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishDungenessCrabCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishDungenessCrab.png,1900.0,Medium,Medium,20.0,3–5,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,1x1,Yes,"The Dungeness crab wears a pretty fan-shaped shell that's often done up in purple hues. But eye-catching colors aside, this fellow can be surprisingly hard to spot! That's because the Dungeness crab is something of an expert hider. When scared, it plays a nifty trick! That is, it buries itself beneath the sand with impressive speed. ""Now you see me, now you don't,"" it says as it vanishes before your very eyes!",I got a Dungeness crab! Dun dun duuuun...geness.,0.0,Pet,None,None,Fluorescent,DungenessCrab,DiveFishDungenessCrab,FtrDiveFishDungenessCrab,1.3.0,1.3.0,7308.0,jTP553H6DNuKBSAKa
23.0,firefly squid,https://acnhcdn.com/latest/MenuIcon/Hotaruika.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishHotaruikaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishHotaruika.png,1400.0,X-Small,Slow,0.0,6,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,1x1,Yes,"The firefly squid is a wee migratory squid that barely reaches three inches in length. And though they usually live in deep water, they do venture to the coast to spawn. Like their firefly namesakes, these sparkling squid emit a blue bioluminescent glow. This glow may be used to threaten enemies, communicate with friends, or, perhaps, to lure food in. Truth be told, we do not know for sure why the firefly squid glows. We remain in the dark, as they say.",I got a firefly squid! More like a glowswim squid.,0.0,Pet,None,None,Fluorescent,Hotaruika,DiveFishHotaruika,FtrDiveFishHotaruika,1.3.0,1.3.0,6920.0,ETuWxdyZNpqeFCYby
39.0,flatworm,https://acnhcdn.com/latest/MenuIcon/Hiramushi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishHiramushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishHiramushi.png,700.0,X-Small,Very slow,0.0,5–8,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Flatworms are flat creatures, and while some types look like sea slugs, they have little else in common. Some types are venomous and produce a poison similar to the kind blowfish are famous for. Flatworms are hermaphrodites and mate by fighting to determine the loser, who then bears the eggs.",I got a flatworm! Guess it forgot its spareworm.,0.0,Pet,None,None,Fluorescent,Hiramushi,DiveFishHiramushi,FtrDiveFishHiramushi,1.3.0,1.3.0,2844.0,4LAq9YXXj4ZdfkSuK
24.0,gazami crab,https://acnhcdn.com/latest/MenuIcon/Gazami.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishGazamiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishGazami.png,2200.0,Medium,Medium,20.0,2–5,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,1x1,Yes,"The gazami crab may be better known by its more descriptive name… the Japanese blue crab. It gets its name from the blue tint sometimes found in its shell and legs. Its paddle-like rear legs are what help it to swim freely and quickly through the water. Of course, this gazami crab couldn't swim enough to get away from you!",I got a gazami crab! What a gripping find!,0.0,Pet,None,None,Fluorescent,Gazami,DiveFishGazami,FtrDiveFishGazami,1.3.0,1.3.0,7191.0,ruLaEghgv3y3obBA2
35.0,giant isopod,https://acnhcdn.com/latest/MenuIcon/Daiougusokumushi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishDaiougusokumushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishDaiougusokumushi.png,12000.0,Medium,Very fast,80.0,1,NA,NA,NA,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Growing up to nearly 20 inches, the sea-dwelling giant isopod is the world's largest cousin of the pill bug. Twenty inches?! Twenty times as revolting, I say! Making matters worse for those of us who find the pill bug repulsive rather than ""cute""... The giant isopod can swim shockingly fast and is known for its voracious appetite. In fact, it's most happy when dining on the carcasses of animals that have sunk to the bottom of the sea! This behavior has earned it a nickname... 'the vacuum cleaner of the deep.' Why must nature play such awful pranks on me?",GAAAAH! I got a giant isopod! It's the crustodian of the sea.,0.0,Pet,None,None,No lighting,Daiougusokumushi,DiveFishDaiougusokumushi,FtrDiveFishDaiougusokumushi,1.3.0,1.3.0,2858.0,eGLoSDD4EWD2c6SGs
18.0,gigas giant clam,https://acnhcdn.com/latest/MenuIcon/Shakogai.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishShakogaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishShakogai.png,15000.0,X-Large,Very fast,80.0,1,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,2x1,Yes,"Gigas giant clams live in warm-water coral reefs and are the biggest bivalves in the world. Growing as wide as six feet and weighing up to 600 pounds, these clams can live to be 100 years old. And yes, these mighty creatures look as though they could eat a swimmer whole. But they eat plankton instead and get valuable nutrients from an algae they live in symbiosis with. Indeed, these enormous gents get all the sustenance they need by lying face up with their shells half-open. If such was my life, I'd be happy as a clam too.",I got a gigas giant clam! It's kind of a big deal.,0.0,Pet,None,None,Fluorescent,Shakogai,DiveFishShakogai,FtrDiveFishShakogai,1.3.0,1.3.0,7214.0,EQmRaHjokMEGTDC7G
36.0,horseshoe crab,https://acnhcdn.com/latest/MenuIcon/Kabutogani.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishKabutoganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishKabutogani.png,2500.0,Medium,Medium,20.0,3–5,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Some might say it's good luck to catch a horseshoe crab. But I am NOT among them, eh wot! Though called a ""crab,"" this beast is an arthropod and thus more akin to spiders and scorpions! Its long tail resembles a scorpion stinger, in fact! Though it's quite harmless, they say. A ""living fossil,"" the horseshoe crab has been around since before the dinosaurs. With that tank-like shell, I suppose it WOULD be the one to survive. But here's what truly rattles me to my beak... During breeding season, horseshoe crabs crawl up on the beach and make nests together in the hundreds. HUNDREDS OF HORSESHOE CRABS! And with that I can say no more.",I got a horseshoe crab! I hope it's lucky!,0.0,Pet,None,None,No lighting,Kabutogani,DiveFishKabutogani,FtrDiveFishKabutogani,1.3.0,1.3.0,2857.0,bbhHaiT2qwcTy46X5
