Name,Achievement Description,Achievement Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 1 Reward,Tier 2 Reward,Tier 3 Reward,Tier 4 Reward,Tier 5 Reward,Tier 6 Reward,Tier 1 Modifier,Tier 1 Noun,Tier 2 Modifier,Tier 2 Noun,Tier 3 Modifier,Tier 3 Noun,Tier 4 Modifier,Tier 4 Noun,Tier 5 Modifier,Tier 5 Noun,Tier 6 Modifier,Tier 6 Noun,Sequential,Version Added,Unique Entry ID
(island name) Miles!,"You traveled a long way just to move to our little island, and you enrolled in the Nook Mileage Program. So you earned your first miles! There are lots of ways to earn miles by just enjoying island life!",Unlock the Nook Mileage program,1.0,53.0,ImmigratetoIsland,Event,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Nook Inc.'s,Patron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,QvQq6d4qJgCiBkMLX
Angling for Perfection!,"Learning how to fish is an essential skill for living on a remote island, hm? Nook Inc. encourages all island residents who are aiming to become fishing masters!",Collect a specified number of fish,2.0,0.0,CatchFish,Fish,5.0,10.0,100.0,500.0,2000.0,5000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Accomplished,Lad;Lass,Competent,Fishing Fan,Moderate,Beach Bum,Fierce,Fisher,Battle-Tested,Catch of the Day,NA,NA,Yes,1.0.0,wkj9WzycBpxtq6CDG
Island Ichthyologist,"Fill in your Critterpedia with fish and you can earn miles along the way. Can you categorize each and every type of fish that swims in your island's waters, hm?",Collect a specified number of unique fish,3.0,3.0,FillFishList,Fish,5.0,10.0,20.0,40.0,60.0,80.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Small-Fry,Pesca Pro,Energetic,Angler,Pond-Raised,Tropical Fish,Hooked,Reaction,Pole-Fishing,Expert,NA,NA,Yes,1.0.0,Ajpkv8wXcZLqM8bMT
Island Togetherness,One of the goals of Nook Inc. is resident togetherness. Our gregarious-greetings initiative aims to reward you with Nook Miles just for chatting with residents. Try to talk to all your neighbors every day!,Talk to each one of your villagers every day,4.0,68.0,GreetAllVillager,Communication,5.0,1.0,10.0,20.0,30.0,50.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Unhindered,Wallflower,Unabashedly,Shy Kid,Respected,One,Ludicrously Popular,"""It"" Guy;""It"" Girl",Natural,Heart Stealer,NA,NA,Yes,1.0.0,syoxyxWL7ymwpKpGN
You've Got the Bug,Earn miles just for catching creepy-crawlies! Every bug you catch is one that won't be surprising someone in their sock drawer.,Collect a specified number of bugs,5.0,1.0,CatchInsect,Insect,5.0,10.0,100.0,500.0,2000.0,5000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Freshly Delivered,Egg,Weak,Grub,Emerging,Pupa,Soaring,Butterfly,Complete,Metamorphosis,NA,NA,Yes,1.0.0,weJ4f9MDdBuzLBrBM
Bugs Don't Bug Me,"You can earn miles for filling out your Critterpedia! Can you find every bug and unlock every entry? Yes, yes, you can! And please consider supporting Blathers by donating bugs to the museum.",Collect a specified number of unique bugs,6.0,4.0,FillInsectList,Insect,5.0,10.0,20.0,40.0,60.0,80.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Hobby-Level,Bug Fan,Night-Owl,Insect,Defiant,Ant,Polymorphing,Creature,Scarce,Critter,NA,NA,Yes,1.0.0,ttRSm74XC4MzSHgnX
Have a Nice DIY!,"Nook Inc. will reward Nook Miles for the number of DIY recipes you've collected. Think about that. You're earning...for learning! Yes, yes!",Collect a specified number of DIY recipes,7.0,55.0,FillRecipeList,DIY,5.0,10.0,50.0,100.0,150.0,200.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Trivia,Representative,Savvy,Intellectual,Understated,Authority,Knowledge-Thirsty,Sidekick,Clever,Father;Mother,NA,NA,Yes,1.0.0,fsanquagmfwNCY8wW
Deep Dive,"The glittering sea that surrounds our island is home to all kinds of captivating creatures. Put on your wet suit, dive in, and sea what you can collect to earn miles. Sea what I did there, hm?",Collect a specified number of sea creatures,8.0,98.0,CatchSeafood,Seafood,5,5,50,250,1000,2500,NA,300,500,1000,2000,3000,NA,Midsummer,Swimmer,Bodyboardin',Beachcomber,Aquatic,Jetsam,Splashy,Winner,Deep-Sea,Monster,NA,NA,Yes,1.3.0,WC4tRgHxSDxLLLFCd
Underwater Understudy,"There are still many creatures we have yet to discover at the bottom of the sea, hm? Earn miles by diving deep, capturing creatures, and filling out your Critterpedia. Yes, yes!",Collect a specified number of unique sea creatures,9.0,95.0,FillSeafoodList,Seafood,5,5,10,20,30,40,NA,300,500,1000,2000,3000,NA,Cerulean,Diver,Fresh,Ingredient,Surfing,Pa;Ma,Waterlogged,Seaweed,Seaside,Darling;Honey,NA,NA,Yes,1.3.0,J62JDagagj5k98Cqp
DIY Tools,"If your tools break, just make more! And to take away the sting, you'll earn Nook Miles based on the number of tools you craft. Sweet deal!",Craft a specified number of tools,10.0,72.0,DIYTool,DIY,5.0,5.0,50.0,200.0,1000.0,3000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Creative,Enthusiast,Crafty,Club Member,Hip,Virtuoso,Bona Fide,Technician,Relentless,Meister,NA,NA,Yes,1.0.0,6k5CnRgbm55m93jMT
DIY Furniture,Here's a win-win-win situation: Craft your own furniture. (Win!) Enjoy your handiwork. (Win!) Earn Nook Miles for the furniture you've crafted. (Win!) What could be better than that?,Craft a specified number of DIY furniture,11.0,73.0,DIYFurniture,DIY,5.0,5.0,50.0,200.0,1000.0,3000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Handmade,Resident,Emergent,Artisan,Picky,Crafter,Humbly Begun,Master;Matriarch,Destructive-Creative,King;Queen,NA,NA,Yes,1.0.0,TprrYjwsCvZbDdcvK
Furniture Freshener,"Give your furniture that personal touch and you can unlock miles. The more items you refurbish, the more miles you can get, hm?",Customize a specified number of furniture or tools using the workbench,12.0,14.0,RemakeFurniture,DIY,5.0,5.0,20.0,50.0,100.0,200.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Unique,Eccentric,Change-It-Up,Challenger,Detail-Oriented,Engineer,Mold-Breaking,Modder,Remodeling,Inspiration,NA,NA,Yes,1.0.0,viHJXo8XB8C3h259Q
Rough-hewn,"Island development is a Nook Inc. goal. We need a lot of materials to make that happen, so we're giving away Nook Miles based on how much wood you've chopped from trees.",Chop a specified number of wood from trees,13.0,67.0,StrikeWood,DIY,5.0,20.0,100.0,500.0,2000.0,5000.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Specific,Producer,Aggressive,Problem Solver,Sharp,Guard,Pointy,Tack,Productive,Superhero,NA,NA,Yes,1.0.0,btjGeCA3qDRLwhuZE
Trashed Tools,"Using a tool until it breaks if proof of your hard work! In praise of your good deeds, you're getting Nook Miles based on how many tools you've broken.",Break a specified number of tools,14.0,49.0,BreakTool,HHA,5.0,1.0,20.0,50.0,100.0,200.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Rascally,Clown,Overboard,Crusher,Rowdy,Punk,Rough-And-Tumble,Meanie,Chaotic,Ruiner,NA,NA,Yes,1.0.0,YhhXqkerTwLu4ewXi
