Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,Berry red,No,880.0,220.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; comfy,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAcorn3,670.0,10935.0,EfbMmL5YGZYtZNgHe
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,Mustard,No,880.0,220.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Cute,everyday; comfy,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAcorn1,670.0,10933.0,ezAwHKyeN45mGvvpH
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,Avocado,No,880.0,220.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Cute,everyday; comfy,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAcorn2,670.0,10934.0,we44e3C8foQySY2y7
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,Navy blue,No,880.0,220.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; comfy,4.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAcorn4,670.0,10936.0,FYrdavXDtZWRQ2MqQ
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,Chestnut,No,880.0,220.0,51.0,Brown,Brown,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; comfy,5.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAcorn0,670.0,5315.0,awiucsYWz5zP8GpRg
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,Cream,No,880.0,220.0,51.0,Beige,Beige,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; comfy,6.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatAcorn5,670.0,10937.0,XTXWXam7Wjt59MTr8
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,Red,No,NFS,500.0,451.0,Red,Pink,1x1,NA,Gulliver,,All Year,No,Simple,everyday; formal,1.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatTyrolean2,658.0,11885.0,mKejTXKMxXnRBkk4B
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,Green,No,NFS,500.0,451.0,Green,Green,1x1,NA,Gulliver,,All Year,No,Simple,everyday; formal,2.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatTyrolean0,658.0,5295.0,mYej2cYc7x6mGC8Dj
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,Blue,No,NFS,500.0,451.0,Blue,Light blue,1x1,NA,Gulliver,,All Year,No,Simple,everyday; formal,3.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatTyrolean1,658.0,11884.0,e45yoPx7fjTd9cSwk
ancient administrator hat,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,NA,No,NFS,800.0,451.0,Black,Black,1x1,NA,Gulliver,,All Year,No,Elegant,formal; work,1.0,HeadCap,Yes,Not for sale,1.0.0,1.0.0,CapHatKanboBlack,929.0,6048.0,BNBBbdP7uZbY2r3zw
